,X Coordinate,Y Coordinate,Young's Modulus [Pa]
0,-3555.913871547443,518.1159034005709,575.81
1,-3555.909805178205,521.9301577456772,2477.49
2,-3555.901672439729,525.7403457215455,2788.63
3,-3555.897606070491,529.5546000666523,1368.42
4,-3555.8894733320158,533.364788042521,1138.72
5,-3555.885406962778,537.1790423876273,1340.52
6,-3555.877274224302,540.9892303634956,708.06
8,-3555.8650751165883,548.6136726844711,1317.02
10,-3555.852876008875,556.2381150054457,2862.04
11,-3555.848809639637,560.052369350552,2163.38
14,-3555.828477793448,571.4869996473958,2344.37
16,-3555.816278685734,579.1114419683709,3560.14
17,-3555.812212316496,582.9256963134771,7574.54
18,-3555.8040795780207,586.7358842893454,2663.58
19,-3555.7959468395447,590.5501386344522,1835.03
20,-3555.7918804703068,594.360326610321,6149.9
21,-3555.783747731831,598.1745809554272,487.995
22,-3555.779681362593,601.9847689312955,313.38
23,-3555.7715486241177,605.7990232764023,1567.25
24,-3555.76748225488,609.609211252271,109.21
25,-3555.759349516404,613.4234655973773,1520.98
26,-3555.755283147166,617.2336535732456,1298.78
27,-3555.7471504086907,621.0479079183524,945.728
28,-3555.7430840394527,624.8580958942207,5936.59
32,-3552.103683571574,518.1118370313329,1251.39
33,-3552.095550833098,521.9220250072012,1213.87
34,-3552.0914844638605,525.7362793523075,837.55
35,-3552.083351725385,529.5464673281763,1126.56
36,-3552.079285356147,533.360721673283,579.49
37,-3552.071152617671,537.1709096491513,1791.37
38,-3552.067086248433,540.9851639942576,591.764
39,-3552.058953509957,544.7953519701264,757.119
40,-3552.05488714072,548.6096063152327,715.069
41,-3552.046754402244,552.4197942911014,6933.5
42,-3552.042688033006,556.2340486362082,4558.51
44,-3552.0304889252925,563.8584909571828,2570.66
45,-3552.022356186817,567.6686789330515,5096.61
46,-3552.018289817579,571.4829332781583,2148.88
47,-3552.010157079103,575.2931212540266,8972.78
48,-3552.006090709865,579.1073755991329,1452.67
49,-3551.99795797139,582.9175635750016,6995.3
51,-3551.985758863676,590.5420058959762,2678.68
55,-3551.961360648249,605.7908905379263,832.05
57,-3551.9491615405354,613.4153328589018,1620.79
59,-3551.936962432822,621.0397751798764,269.372
64,-3548.2894292264677,518.1037042928574,4018.02
66,-3548.277230118754,525.728146613832,2767.65
67,-3548.273163749516,529.5424009589383,3716.04
68,-3548.2650310110403,533.3525889348075,665.992
69,-3548.2609646418023,537.1668432799138,1113.92
72,-3548.240632795613,548.6014735767571,433.571
73,-3548.2365664263752,552.4157279218639,1027.08
74,-3548.2284336879,556.2259158977322,2553.4
75,-3548.2243673186617,560.0401702428385,7204.37
76,-3548.216234580186,563.8503582187072,1746.63
77,-3548.212168210948,567.6646125638135,2336.09
78,-3548.2040354724727,571.4748005396818,1266.61
79,-3548.1999691032347,575.2890548847886,56.5945
81,-3548.187769995521,582.9134972057636,8446.04
96,-3544.479241250599,518.0996379236194,919.387
97,-3544.471108512123,521.9098258994877,4194.19
98,-3544.467042142885,525.7240802445945,7729.14
99,-3544.458909404409,529.5342682204628,2042.91
100,-3544.454843035172,533.348522565569,994.119
101,-3544.446710296696,537.1587105414378,1050.02
102,-3544.4426439274584,540.9729648865446,262.465
103,-3544.4345111889825,544.7831528624129,1359.87
105,-3544.422312081269,552.4075951833879,942.406
106,-3544.4182457120314,556.2218495284947,744.045
107,-3544.4101129735554,560.032037504363,466.908
108,-3544.406046604317,563.8462918494693,1973.07
109,-3544.397913865842,567.656479825338,4027.85
129,-3540.6609205362547,521.9057595302502,7157.74
132,-3540.640588690065,533.3403898270935,1872.36
136,-3540.616190474638,548.5892744690436,782.033
137,-3540.6121241054,552.4035288141499,1646.26
138,-3540.6039913669247,556.2137167900182,511.654
141,-3540.5877258899736,567.6524134561,2019.84
160,-3536.854798929624,518.0874388159054,2534.28
165,-3536.822267975721,537.1465114337243,1221.87
166,-3536.8182016064834,540.960765778831,747.662
167,-3536.8100688680074,544.7709537546993,1102.93
170,-3536.793803391056,556.2096504207807,658.473
193,-3533.03647821528,521.8935604225367,402.985
