Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000211899,IGHM,Gene Expression,0.6545889116235657,0.0,0.0,86134,23.76225319072342,939
ENSG00000211896,IGHG1,Gene Expression,0.5972582217089298,0.0,0.0,167642,64.32473208912437,1300
ENSG00000211592,IGKC,Gene Expression,0.5902930415931412,0.0,0.0,187871,71.01163953100695,1306
ENSG00000211895,IGHA1,Gene Expression,0.5660300949800593,0.0,0.0,23435,10.038782723684973,961
ENSG00000211898,IGHD,Gene Expression,0.5551687897899203,0.0,0.0,9917,5.054617395743634,723
ENSG00000211897,IGHG3,Gene Expression,0.5463675280646246,0.0,0.0,36971,14.330412882460438,1004
ENSG00000108821,COL1A1,Gene Expression,0.5380424607921105,0.0,0.0,158394,66.05147855776312,1375
ENSG00000164692,COL1A2,Gene Expression,0.5362137279477185,0.0,0.0,55522,21.888483605997244,1255
ENSG00000113140,SPARC,Gene Expression,0.5178696480250602,0.0,0.0,37715,15.213587384646143,1209
ENSG00000100234,TIMP3,Gene Expression,0.5109945425840515,0.0,0.0,13508,4.424682379232379,937
ENSG00000168542,COL3A1,Gene Expression,0.48488993379822326,0.0,0.0,110285,47.893144234427034,1353
ENSG00000172782,FADS6,Gene Expression,0.4756316423453573,0.0,0.0,75,0.016384791132601627,16
ENSG00000169903,TM4SF4,Gene Expression,0.4719074827222362,0.0,0.0,241,0.09558750104843863,59
ENSG00000115414,FN1,Gene Expression,0.45623297273053354,0.0,0.0,38319,14.959616444613802,1237
ENSG00000168243,GNG4,Gene Expression,0.4487270595155105,0.0,0.0,582,0.2720955633354335,171
ENSG00000187498,COL4A1,Gene Expression,0.41183095629181354,0.0,0.0,13556,6.034213698814913,1078
ENSG00000134871,COL4A2,Gene Expression,0.4093458189654484,0.0,0.0,12312,6.071546358883169,1060
ENSG00000142173,COL6A2,Gene Expression,0.4041355413788182,0.0,0.0,17520,7.232276089569518,1124
ENSG00000132465,JCHAIN,Gene Expression,0.39963339308649937,0.0,0.0,2665,0.8156193655888799,361
ENSG00000122786,CALD1,Gene Expression,0.3984405749576478,0.0,0.0,9294,4.198775716625721,1009
ENSG00000019186,CYP24A1,Gene Expression,0.39776425071075944,0.0,0.0,2276,1.2387822540652387,541
ENSG00000163359,COL6A3,Gene Expression,0.39713619124756083,0.0,0.0,16999,6.752783252342213,1109
ENSG00000090382,LYZ,Gene Expression,0.3916902681206998,0.0,0.0,16010,6.088036058526679,1075
ENSG00000130635,COL5A1,Gene Expression,0.3835269112569039,0.0,0.0,16841,7.943544053643372,1144
ENSG00000170801,HTRA3,Gene Expression,0.3785541768124528,0.0,0.0,3682,1.2443886530585857,704
ENSG00000154096,THY1,Gene Expression,0.37729199195513813,0.0,0.0,4322,1.576560010701625,735
ENSG00000204335,SP5,Gene Expression,0.3701685879783314,0.0,0.0,328,0.1267443428799199,125
ENSG00000182492,BGN,Gene Expression,0.36811703253716804,0.0,0.0,8652,3.3503031797102167,967
ENSG00000118523,CCN2,Gene Expression,0.36700493815526475,0.0,0.0,12832,5.960424321370273,1119
ENSG00000197249,SERPINA1,Gene Expression,0.3616757278726429,0.0,0.0,64104,23.220580049040148,1348
ENSG00000099194,SCD,Gene Expression,0.3577447015196427,0.0,0.0,10584,3.6422214349441187,1028
ENSG00000142871,CCN1,Gene Expression,0.3570108872660744,0.0,0.0,11368,5.278518940650692,1123
ENSG00000182871,COL18A1,Gene Expression,0.35662575194133983,0.0,0.0,7924,3.707234891232361,1022
ENSG00000102265,TIMP1,Gene Expression,0.35545002925927266,0.0,0.0,53978,21.07044112352659,1345
ENSG00000146674,IGFBP3,Gene Expression,0.35088418126805965,0.0,0.0,20412,8.093777473200264,1167
ENSG00000186340,THBS2,Gene Expression,0.3507240129041249,0.0,0.0,7836,3.129404507032063,949
ENSG00000106366,SERPINE1,Gene Expression,0.3484602972344081,0.0,0.0,8697,5.070490763962908,999
ENSG00000211675,IGLC1,Gene Expression,0.34839034700549676,0.0,0.0,1907,0.6901266156060946,370
ENSG00000138207,RBP4,Gene Expression,0.34822897550002413,0.0,0.0,462,0.24179964860686803,163
ENSG00000105388,CEACAM5,Gene Expression,0.3399136124260151,0.0,0.0,27737,12.524441350217737,1270
ENSG00000211448,DIO2,Gene Expression,0.3379271413994575,0.0,0.0,936,0.5865277120807385,335
ENSG00000019582,CD74,Gene Expression,0.32855924961767863,0.0,0.0,36385,16.313153184337384,1302
ENSG00000185633,NDUFA4L2,Gene Expression,0.3212930421712228,0.0,0.0,4192,1.5509223773800112,766
ENSG00000214530,STARD10,Gene Expression,0.3158483957664017,0.0,0.0,49824,19.609933514599344,1353
ENSG00000160211,G6PD,Gene Expression,0.31240352751981454,0.0,0.0,18712,7.009075266142839,1200
ENSG00000172889,EGFL7,Gene Expression,0.31087785092389697,0.0,0.0,4610,2.4239574824761503,913
ENSG00000196611,MMP1,Gene Expression,0.3097905700307361,0.0,0.0,2769,1.1977991270029507,620
ENSG00000170476,MZB1,Gene Expression,0.30938959440743363,0.0,0.0,2759,1.3098548800082184,568
ENSG00000038427,VCAN,Gene Expression,0.30879437335961135,0.0,0.0,7710,3.1088133513946015,949
ENSG00000104419,NDRG1,Gene Expression,0.30805494649621973,0.0,0.0,30367,12.694870125651695,1289
ENSG00000115461,IGFBP5,Gene Expression,0.3060781253892537,0.0,0.0,7794,3.3889719924109403,989
ENSG00000106624,AEBP1,Gene Expression,0.3059376081813957,0.0,0.0,6342,3.032793844601875,941
ENSG00000087245,MMP2,Gene Expression,0.3057673533821813,0.0,0.0,4693,1.9936815326020698,845
ENSG00000107159,CA9,Gene Expression,0.3051696772439628,0.0,0.0,6641,2.574608925157802,930
ENSG00000123689,G0S2,Gene Expression,0.30291189680471803,0.0,0.0,3213,4.561904126177596,917
ENSG00000161944,ASGR2,Gene Expression,0.2996914262976403,0.0,0.0,7755,3.0584951553963067,986
ENSG00000119888,EPCAM,Gene Expression,0.2995841713722,0.0,0.0,13597,5.330968539689054,1145
ENSG00000164733,CTSB,Gene Expression,0.29941707359322034,0.0,0.0,34626,14.337010527927871,1319
